"term","estimate","std.error","statistic","p.value","unique_hummock"
"(Intercept)",4.59604099831077,0.216851087566344,21.1944567578184,0.0022187489336929,"47"
"Year",-0.605501489870912,0.289134783421792,-2.09418418187203,0.17126864922806,"47"
"(Intercept)",1.73484659491833,NA,NA,NA,"48"
"Year",3.77785980237569,NA,NA,NA,"48"
"(Intercept)",5.2871185152549,0.712868186951154,7.41668461580146,0.0853216160581224,"49"
"Year",-2.16175571853996,0.891859753812294,-2.42387405564545,0.249102410727904,"49"
"(Intercept)",4.09313567750737,0.113631747561598,36.0210571899243,0.0176690066681554,"50"
"Year",-0.134104399548104,0.142163143566528,-0.943313408691946,0.518564979943441,"50"
"(Intercept)",4.62724530108603,0.0482605706318058,95.8804514846843,0.00663948365565971,"51"
"Year",-1.0742859810848,0.11214743180127,-9.5792294467204,0.0662184986138763,"51"
NA,NA,NA,NA,NA,"52"
NA,NA,NA,NA,NA,"53"
"(Intercept)",4.60954544058726,NA,NA,NA,"54"
"Year",-0.658899921259641,NA,NA,NA,"54"
NA,NA,NA,NA,NA,"55"
"(Intercept)",4.45818882413303,0.280041673355514,15.9197335550604,0.00392253874200508,"56"
"Year",-0.141504468414827,0.373388897807352,-0.378973422203451,0.741157988130416,"56"
"(Intercept)",4.13904166792919,0.221844998013455,18.6573585385872,0.0340890271574201,"57"
"Year",NA,NA,NA,NA,"57"
"(Intercept)",4.50629847711787,0.150329847958349,29.9760728712132,0.021229724487493,"58"
"Year",-0.305992244571846,0.214594783747445,-1.42590718762282,0.38935870394659,"58"
"(Intercept)",4.43207105450807,0.173058643432631,25.610226490845,0.00152118249593272,"59"
"Year",-0.471429522751121,0.250005749082039,-1.88567472740966,0.199991348686985,"59"
"(Intercept)",4.57472681184558,0.102149287901134,44.7847156435713,0.0142127507467127,"60"
